id,delito,fecha_peticion,fecha_resolucion,resultado,tiempo_resolucion,ano_peticion,mes_peticion,dia_peticion,resuelta
1,homicidio,2006-12-04,2006-12-21,concedida,1468800s (~2.43 weeks),2006,12,04,si
2,secuestro,2006-12-15,2007-01-23,concedida,3369600s (~5.57 weeks),2006,12,15,si
2,lesiones,2006-12-15,2007-01-23,concedida,3369600s (~5.57 weeks),2006,12,15,si
2,violacion,2006-12-15,2007-01-23,concedida,3369600s (~5.57 weeks),2006,12,15,si
2,delitos_sexuales,2006-12-15,2007-01-23,concedida,3369600s (~5.57 weeks),2006,12,15,si
3,homicidio,2006-12-15,2007-02-28,concedida,6480000s (~10.71 weeks),2006,12,15,si
3,robo,2006-12-15,2007-02-28,concedida,6480000s (~10.71 weeks),2006,12,15,si
4,homicidio,2006-12-18,2007-03-05,concedida,6652800s (~11 weeks),2006,12,18,si
4,asociacion_delictuosa,2006-12-18,2007-03-05,concedida,6652800s (~11 weeks),2006,12,18,si
4,incendio,2006-12-18,2007-03-05,concedida,6652800s (~11 weeks),2006,12,18,si
4,robo,2006-12-18,2007-03-05,concedida,6652800s (~11 weeks),2006,12,18,si
5,homicidio,2006-12-22,2007-01-23,concedida,2764800s (~4.57 weeks),2006,12,22,si
6,delito_contra_la_salud,2007-01-16,2007-07-06,concedida,14774400s (~24.43 weeks),2007,01,16,si
7,delito_contra_la_salud,2007-01-16,2007-11-12,concedida,25920000s (~42.86 weeks),2007,01,16,si
8,delito_contra_la_salud,2007-01-26,2008-04-21,concedida,38966400s (~1.23 years),2007,01,26,si
9,delitos_sexuales,2007-01-26,2007-06-07,concedida,11404800s (~18.86 weeks),2007,01,26,si
10,delito_sexual_menores,2007-01-26,2007-03-07,concedida,3456000s (~5.71 weeks),2007,01,26,si
11,homicidio,2007-02-07,2007-05-07,concedida,7689600s (~12.71 weeks),2007,02,07,si
11,secuestro,2007-02-07,2007-05-07,concedida,7689600s (~12.71 weeks),2007,02,07,si
12,secuestro,2007-02-09,2007-03-22,concedida,3542400s (~5.86 weeks),2007,02,09,si
13,homicidio,2007-03-09,2007-06-26,concedida,9417600s (~15.57 weeks),2007,03,09,si
13,homicidio,2007-03-09,2007-06-26,concedida,9417600s (~15.57 weeks),2007,03,09,si
13,posesion_ilegal_de_arma_de_fuego,2007-03-09,2007-06-26,concedida,9417600s (~15.57 weeks),2007,03,09,si
14,asalto_sexual,2007-03-16,2007-04-20,concedida,3024000s (~5 weeks),2007,03,16,si
15,asalto_sexual,2007-03-16,2007-04-20,concedida,3024000s (~5 weeks),2007,03,16,si
16,homicidio,2007-03-16,2007-04-25,concedida,3456000s (~5.71 weeks),2007,03,16,si
16,lesiones,2007-03-16,2007-04-25,concedida,3456000s (~5.71 weeks),2007,03,16,si
16,secuestro,2007-03-16,2007-04-25,concedida,3456000s (~5.71 weeks),2007,03,16,si
17,delito_contra_la_salud,2007-03-26,2007-04-20,concedida,2160000s (~3.57 weeks),2007,03,26,si
18,homicidio,2007-03-30,2007-05-07,concedida,3283200s (~5.43 weeks),2007,03,30,si
19,homicidio,2007-04-01,2009-05-13,concedida,66787200s (~2.12 years),2007,04,01,si
19,homicidio,2007-04-01,2009-05-13,concedida,66787200s (~2.12 years),2007,04,01,si
20,delito_sexual_menores,2007-04-04,2007-05-07,concedida,2851200s (~4.71 weeks),2007,04,04,si
21,delito_sexual_menores,2007-04-13,2007-07-31,concedida,9417600s (~15.57 weeks),2007,04,13,si
22,homicidio,2007-04-17,2007-05-07,concedida,1728000s (~2.86 weeks),2007,04,17,si
22,lesiones,2007-04-17,2007-05-07,concedida,1728000s (~2.86 weeks),2007,04,17,si
23,homicidio,2007-04-23,2007-11-12,concedida,17539200s (~29 weeks),2007,04,23,si
24,delito_contra_la_salud,2007-04-26,2007-06-01,concedida,3110400s (~5.14 weeks),2007,04,26,si
25,homicidio,2007-04-27,2007-08-21,concedida,10022400s (~16.57 weeks),2007,04,27,si
26,homicidio,2007-05-07,2007-07-31,concedida,7344000s (~12.14 weeks),2007,05,07,si
27,delito_contra_la_salud,2007-05-25,2007-06-21,concedida,2332800s (~3.86 weeks),2007,05,25,si
28,delito_sexual_menores,2007-05-28,2007-06-21,concedida,2073600s (~3.43 weeks),2007,05,28,si
29,delito_contra_la_salud,2007-05-30,2008-01-08,concedida,19267200s (~31.86 weeks),2007,05,30,si
29,lavado_de_dinero,2007-05-30,2008-01-08,concedida,19267200s (~31.86 weeks),2007,05,30,si
29,delincuencia_organizada,2007-05-30,2008-01-08,concedida,19267200s (~31.86 weeks),2007,05,30,si
30,delito_contra_la_salud,2007-05-30,2007-12-06,concedida,16416000s (~27.14 weeks),2007,05,30,si
30,lavado_de_dinero,2007-05-30,2007-12-06,concedida,16416000s (~27.14 weeks),2007,05,30,si
30,delincuencia_organizada,2007-05-30,2007-12-06,concedida,16416000s (~27.14 weeks),2007,05,30,si
31,delito_contra_la_salud,2007-05-30,2008-03-19,concedida,25401600s (~42 weeks),2007,05,30,si
31,lavado_de_dinero,2007-05-30,2008-03-19,concedida,25401600s (~42 weeks),2007,05,30,si
31,delincuencia_organizada,2007-05-30,2008-03-19,concedida,25401600s (~42 weeks),2007,05,30,si
32,delito_contra_la_salud,2007-05-30,2007-12-03,concedida,16156800s (~26.71 weeks),2007,05,30,si
32,lavado_de_dinero,2007-05-30,2007-12-03,concedida,16156800s (~26.71 weeks),2007,05,30,si
32,delincuencia_organizada,2007-05-30,2007-12-03,concedida,16156800s (~26.71 weeks),2007,05,30,si
33,violacion,2007-06-08,2007-08-13,concedida,5702400s (~9.43 weeks),2007,06,08,si
33,delito_sexual_menores,2007-06-08,2007-08-13,concedida,5702400s (~9.43 weeks),2007,06,08,si
34,homicidio,2007-06-18,2007-07-05,concedida,1468800s (~2.43 weeks),2007,06,18,si
35,delito_contra_la_salud,2007-06-22,2007-11-21,concedida,13132800s (~21.71 weeks),2007,06,22,si
36,delito_contra_la_salud,2007-06-29,NA,n/a,NA,2007,06,29,no
36,lavado_de_dinero,2007-06-29,NA,n/a,NA,2007,06,29,no
36,delincuencia_organizada,2007-06-29,NA,n/a,NA,2007,06,29,no
37,allanamiento_de_morada_calificado,2007-06-30,2007-08-15,concedida,3974400s (~6.57 weeks),2007,06,30,si
37,violacion,2007-06-30,2007-08-15,concedida,3974400s (~6.57 weeks),2007,06,30,si
37,violacion,2007-06-30,2007-08-15,concedida,3974400s (~6.57 weeks),2007,06,30,si
37,robo,2007-06-30,2007-08-15,concedida,3974400s (~6.57 weeks),2007,06,30,si
38,delito_contra_la_salud,2007-07-16,2007-09-28,concedida,6393600s (~10.57 weeks),2007,07,16,si
39,delito_contra_la_salud,2007-07-16,2007-09-28,concedida,6393600s (~10.57 weeks),2007,07,16,si
40,delito_contra_la_salud,2007-07-24,2010-02-02,concedida,79833600s (~2.53 years),2007,07,24,si
40,lavado_de_dinero,2007-07-24,2010-02-02,concedida,79833600s (~2.53 years),2007,07,24,si
40,delincuencia_organizada,2007-07-24,2010-02-02,concedida,79833600s (~2.53 years),2007,07,24,si
41,homicidio,2007-07-28,2008-02-12,concedida,17193600s (~28.43 weeks),2007,07,28,si
42,secuestro,2007-08-07,2007-10-12,concedida,5702400s (~9.43 weeks),2007,08,07,si
42,allanamiento_de_morada,2007-08-07,2007-10-12,concedida,5702400s (~9.43 weeks),2007,08,07,si
42,robo,2007-08-07,2007-10-12,concedida,5702400s (~9.43 weeks),2007,08,07,si
43,delito_contra_la_salud,2007-08-09,NA,n/a,NA,2007,08,09,no
43,lavado_de_dinero,2007-08-09,NA,n/a,NA,2007,08,09,no
43,delincuencia_organizada,2007-08-09,NA,n/a,NA,2007,08,09,no
44,homicidio,2007-08-10,2007-09-18,concedida,3369600s (~5.57 weeks),2007,08,10,si
45,asociacion_delictuosa,2007-08-13,2007-09-18,concedida,3110400s (~5.14 weeks),2007,08,13,si
46,homicidio,2007-08-17,2007-11-05,concedida,6912000s (~11.43 weeks),2007,08,17,si
46,delitos_sexuales,2007-08-17,2007-11-05,concedida,6912000s (~11.43 weeks),2007,08,17,si
47,delito_contra_la_salud,2007-08-17,2007-11-01,concedida,6566400s (~10.86 weeks),2007,08,17,si
48,asociacion_delictuosa,2007-08-21,2007-11-14,concedida,7344000s (~12.14 weeks),2007,08,21,si
49,delito_contra_la_salud,2007-08-21,2008-06-16,concedida,25920000s (~42.86 weeks),2007,08,21,si
50,asalto_sexual_menor,2007-08-22,2007-11-01,concedida,6134400s (~10.14 weeks),2007,08,22,si
50,actos_lascivos_contra_menores,2007-08-22,2007-11-01,concedida,6134400s (~10.14 weeks),2007,08,22,si
51,delito_contra_la_salud,2007-08-24,2008-03-14,concedida,17539200s (~29 weeks),2007,08,24,si
52,delito_contra_la_salud,2007-08-24,2017-12-31,concedida,326764800s (~10.35 years),2007,08,24,si
53,asociacion_delictuosa,2007-08-29,NA,n/a,NA,2007,08,29,no
53,delito_contra_la_salud,2007-08-29,NA,n/a,NA,2007,08,29,no
54,homicidio,2007-09-01,2007-09-18,concedida,1468800s (~2.43 weeks),2007,09,01,si
55,delito_sexual_menores,2007-09-07,2007-11-21,concedida,6480000s (~10.71 weeks),2007,09,07,si
56,homicidio,2007-09-07,2007-09-18,concedida,950400s (~1.57 weeks),2007,09,07,si
57,violacion,2007-09-07,2007-10-19,concedida,3628800s (~6 weeks),2007,09,07,si
57,delito_con_arma_de_fuego,2007-09-07,2007-10-19,concedida,3628800s (~6 weeks),2007,09,07,si
58,delito_contra_la_salud,2007-09-07,2008-01-21,concedida,11750400s (~19.43 weeks),2007,09,07,si
58,asociacion_delictuosa,2007-09-07,2008-01-21,concedida,11750400s (~19.43 weeks),2007,09,07,si
59,delito_sexual_menores,2007-09-13,2007-11-01,concedida,4233600s (~7 weeks),2007,09,13,si
60,delito_sexual_menores,2007-09-14,2007-12-10,concedida,7516800s (~12.43 weeks),2007,09,14,si
61,homicidio,2007-09-21,2007-11-07,concedida,4060800s (~6.71 weeks),2007,09,21,si
62,homicidio,2007-09-24,2008-02-05,concedida,11577600s (~19.14 weeks),2007,09,24,si
63,homicidio,2007-09-24,2007-11-01,concedida,3283200s (~5.43 weeks),2007,09,24,si
63,abuso_sexual_menores,2007-09-24,2007-11-01,concedida,3283200s (~5.43 weeks),2007,09,24,si
64,delito_sexual_menores,2007-09-28,2007-12-11,concedida,6393600s (~10.57 weeks),2007,09,28,si
65,homicidio,2007-09-28,2007-11-01,concedida,2937600s (~4.86 weeks),2007,09,28,si
65,homicidio,2007-09-28,2007-11-01,concedida,2937600s (~4.86 weeks),2007,09,28,si
66,delito_contra_la_salud,2007-09-29,2008-02-25,concedida,12873600s (~21.29 weeks),2007,09,29,si
66,asociacion_delictuosa,2007-09-29,2008-02-25,concedida,12873600s (~21.29 weeks),2007,09,29,si
67,delito_contra_la_salud,2007-09-29,2008-01-08,concedida,8726400s (~14.43 weeks),2007,09,29,si
67,asociacion_delictuosa,2007-09-29,2008-01-08,concedida,8726400s (~14.43 weeks),2007,09,29,si
68,delito_contra_la_salud,2007-10-01,2008-09-11,concedida,29894400s (~49.43 weeks),2007,10,01,si
69,homicidio,2007-10-06,2007-11-07,concedida,2764800s (~4.57 weeks),2007,10,06,si
69,abuso_sexual_menores,2007-10-06,2007-11-07,concedida,2764800s (~4.57 weeks),2007,10,06,si
70,allanamiento_de_morada,2007-10-06,2007-11-12,concedida,3196800s (~5.29 weeks),2007,10,06,si
70,lesiones,2007-10-06,2007-11-12,concedida,3196800s (~5.29 weeks),2007,10,06,si
70,delito_con_arma_de_fuego,2007-10-06,2007-11-12,concedida,3196800s (~5.29 weeks),2007,10,06,si
71,homicidio,2007-10-06,2007-11-09,concedida,2937600s (~4.86 weeks),2007,10,06,si
72,asalto_sexual,2007-10-08,2007-12-31,concedida,7257600s (~12 weeks),2007,10,08,si
73,asociacion_delictuosa,2007-10-08,2008-05-02,concedida,17884800s (~29.57 weeks),2007,10,08,si
74,delito_contra_la_salud,2007-10-11,2008-02-25,concedida,11836800s (~19.57 weeks),2007,10,11,si
74,asociacion_delictuosa,2007-10-11,2008-02-25,concedida,11836800s (~19.57 weeks),2007,10,11,si
75,delito_contra_la_salud,2007-10-12,2007-12-20,concedida,5961600s (~9.86 weeks),2007,10,12,si
76,delito_contra_la_salud,2007-10-19,2008-01-08,concedida,6998400s (~11.57 weeks),2007,10,19,si
76,asociacion_delictuosa,2007-10-19,2008-01-08,concedida,6998400s (~11.57 weeks),2007,10,19,si
77,homicidio,2007-10-21,2008-02-22,concedida,10713600s (~17.71 weeks),2007,10,21,si
77,delito_con_arma_de_fuego,2007-10-21,2008-02-22,concedida,10713600s (~17.71 weeks),2007,10,21,si
78,delito_sexual_menores,2007-10-26,2008-05-20,concedida,17884800s (~29.57 weeks),2007,10,26,si
79,homicidio,2007-10-27,2008-09-11,concedida,27648000s (~45.71 weeks),2007,10,27,si
80,delito_contra_la_salud,2007-10-27,2008-01-28,concedida,8035200s (~13.29 weeks),2007,10,27,si
81,delito_contra_la_salud,2007-10-30,2007-12-03,concedida,2937600s (~4.86 weeks),2007,10,30,si
82,secuestro,2007-10-31,2008-06-18,concedida,19958400s (~33 weeks),2007,10,31,si
82,delito_con_arma_de_fuego,2007-10-31,2008-06-18,concedida,19958400s (~33 weeks),2007,10,31,si
83,delito_contra_la_salud,2007-11-05,2007-12-19,concedida,3801600s (~6.29 weeks),2007,11,05,si
84,delito_contra_la_salud,2007-11-05,2007-12-19,concedida,3801600s (~6.29 weeks),2007,11,05,si
85,falsificacion,2007-11-09,2007-12-10,concedida,2678400s (~4.43 weeks),2007,11,09,si
85,falsificacion,2007-11-09,2007-12-10,concedida,2678400s (~4.43 weeks),2007,11,09,si
85,asociacion_delictuosa,2007-11-09,2007-12-10,concedida,2678400s (~4.43 weeks),2007,11,09,si
85,falsificacion,2007-11-09,2007-12-10,concedida,2678400s (~4.43 weeks),2007,11,09,si
86,delito_contra_la_salud,2007-11-09,2007-12-10,concedida,2678400s (~4.43 weeks),2007,11,09,si
87,homicidio,2007-11-09,2007-12-03,concedida,2073600s (~3.43 weeks),2007,11,09,si
88,secuestro,2007-11-16,2008-04-03,concedida,12009600s (~19.86 weeks),2007,11,16,si
88,violacion,2007-11-16,2008-04-03,concedida,12009600s (~19.86 weeks),2007,11,16,si
89,delito_contra_la_salud,2007-11-16,2008-03-26,concedida,11318400s (~18.71 weeks),2007,11,16,si
90,delito_contra_la_salud,2007-11-24,NA,n/a,NA,2007,11,24,no
90,asociacion_delictuosa,2007-11-24,NA,n/a,NA,2007,11,24,no
91,homicidio,2007-11-28,2008-01-15,concedida,4147200s (~6.86 weeks),2007,11,28,si
